session_id,psid,respID,qID,profileID,altID,obsID,choice,time_start,time_min_total,time_min_battery_cbc,next_veh_budget,vehicle_type,veh_mileage,veh_price,battery_refurbish,battery_range_year0,battery_degradation,no_choice,battery_health_year0,battery_health_year3,battery_health_year8,battery_range_year3,battery_range_year8,battery_condition
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,1,177,1,1609,1,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,15000,30000,packreplace,240,0.01,0,100%,97%,92%,235,220,Refurbished Pack-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,1,270,2,1609,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,40000,27000,packreplace,280,0.01,0,100%,97%,92%,270,260,Refurbished Pack-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,1,594,3,1609,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,20000,30000,original,240,0.02,0,100%,94%,85%,225,205,Original Battery
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,1,0,4,1609,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,2,3705,1,1610,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,15000,33000,cellreplace,320,0.08,0,100%,78%,51%,250,165,Refurbished Cell-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,2,2937,2,1610,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,15000,33000,cellreplace,200,0.07,0,100%,80%,56%,160,110,Refurbished Cell-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,2,2970,3,1610,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,20000,33000,packreplace,200,0.07,0,100%,80%,56%,160,110,Refurbished Pack-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,2,0,4,1610,1,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,3,3408,1,1611,1,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,50000,27000,cellreplace,200,0.08,0,100%,78%,51%,155,105,Refurbished Cell-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,3,1086,2,1611,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,40000,33000,original,240,0.03,0,100%,91%,78%,220,190,Original Battery
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,3,1243,3,1611,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,25000,33000,packreplace,280,0.03,0,100%,91%,78%,255,220,Refurbished Pack-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,3,0,4,1611,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
