date,description,participant_id,study,reward,fee
2026-02-26,SCREENED OUT,5ba2a73912cbb600017c8852,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,698b3ede29ad2b7fd05fc008,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,699d3cfe2e0c213e249171f1,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,69955ef01356281b7275e835,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,66a82ba9951d0f5503746ec3,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6667048a189c11bfd5167dda,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,694180d069557e7a626bbbfc,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,6944426d5defea5e83fbdadf,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69602ed466210b12d295a605,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6986630e0533f8d81e8c458c,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6792d1acde4c29a91f549bc7,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,67791e72b0649738394f7279,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,698fa3106c1906868f770968,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,674222658982ea9f4a1084cd,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,698ec97b5c8f1b7acf4e62db,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,698d1883d88854958befcb20,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,698bd950f7416b591acf2bc8,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,6778dd74333c5337f6dc9421,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,699564981f131e15e260a09b,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6988788370e570c7b4ab5ee5,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69417bcb66e726b3fa20c1fd,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,69438f6f52fa5392d72333a5,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,698e561001ec343cc230dcdf,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,694b0b65c56cff65c2c22201,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,69866c151e89ae8ed8ebc85b,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,695fd5e7dd1ecd302cfaeb9a,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6943569ffa79e95bcafc00fc,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,699be455c2a142eafe93f554,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,65b54bdbea995e3459e56d7e,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6990fd1cda959ba63e04c18c,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,6439196ac8edf1bbd8c44d13,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,698ea1be50ea8dbf93448cff,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69866e8a0ee261ec44a256fc,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,695ff38ddb46ec007d427ac5,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,698ebeec5d1267644e448d32,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,676956116c1a3416bf7b2afe,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,698ce4ba931f89581ecc6d7d,69972f6c3f130386dee62c91,2.25,0.75
